15	7	E	-1.3751268719964702E7	200
emissionprobs	1	4	H3K4me3	1	8.421505878382755E-4
emissionprobs	1	5	H3K9me3	0	0.06139522904020877
emissionprobs	1	5	H3K9me3	1	0.9386047709597912
emissionprobs	1	6	K3K36me3	0	0.992709147997405
emissionprobs	1	6	K3K36me3	1	0.007290852002595072
emissionprobs	2	0	DNase	0	0.9888665197135038
emissionprobs	2	0	DNase	1	0.011133480286496225
emissionprobs	2	1	H3K27ac	0	0.999470228875605
emissionprobs	2	1	H3K27ac	1	5.297711243949829E-4
emissionprobs	2	2	H3K27me3	0	0.9948932846326276
emissionprobs	2	2	H3K27me3	1	0.005106715367372317
emissionprobs	2	3	H3K4me1	0	0.9985305966770474
emissionprobs	2	3	H3K4me1	1	0.0014694033229527299
emissionprobs	2	4	H3K4me3	0	0.9992111651774507
emissionprobs	2	4	H3K4me3	1	7.888348225494036E-4
emissionprobs	2	5	H3K9me3	0	0.18554955142095073
emissionprobs	2	5	H3K9me3	1	0.8144504485790492
emissionprobs	2	6	K3K36me3	0	0.9980214209844954
emissionprobs	2	6	K3K36me3	1	0.0019785790155045792
emissionprobs	3	0	DNase	0	0.946636912608199
emissionprobs	3	0	DNase	1	0.05336308739180082
emissionprobs	3	1	H3K27ac	0	0.9320851402911056
emissionprobs	3	1	H3K27ac	1	0.06791485970889448
emissionprobs	3	2	H3K27me3	0	0.9960945589308031
emissionprobs	3	2	H3K27me3	1	0.003905441069196795
emissionprobs	3	3	H3K4me1	0	0.9751406701657506
emissionprobs	3	3	H3K4me1	1	0.024859329834249325
emissionprobs	3	4	H3K4me3	0	0.9986098871841979
emissionprobs	3	4	H3K4me3	1	0.0013901128158022346
emissionprobs	3	5	H3K9me3	0	0.8553313180964154
emissionprobs	3	5	H3K9me3	1	0.14466868190358473
emissionprobs	3	6	K3K36me3	0	0.39940482058097615
emissionprobs	3	6	K3K36me3	1	0.600595179419024
emissionprobs	4	0	DNase	0	0.19214850503727537
emissionprobs	4	0	DNase	1	0.8078514949627246
emissionprobs	4	1	H3K27ac	0	0.980303415723615
emissionprobs	4	1	H3K27ac	1	0.01969658427638502
emissionprobs	4	2	H3K27me3	0	0.9971408681946676
emissionprobs	4	2	H3K27me3	1	0.0028591318053324544
emissionprobs	4	3	H3K4me1	0	0.9860000978816612
emissionprobs	4	3	H3K4me1	1	0.013999902118338826
emissionprobs	4	4	H3K4me3	0	0.9950942084191139
emissionprobs	4	4	H3K4me3	1	0.004905791580886238
emissionprobs	4	5	H3K9me3	0	0.8935774492418815
emissionprobs	4	5	H3K9me3	1	0.10642255075811853
emissionprobs	4	6	K3K36me3	0	0.3406535898338565
emissionprobs	4	6	K3K36me3	1	0.6593464101661435
emissionprobs	5	0	DNase	0	0.19918884904823944
emissionprobs	5	0	DNase	1	0.8008111509517606
emissionprobs	5	1	H3K27ac	0	0.9961935825632545
emissionprobs	5	1	H3K27ac	1	0.003806417436745428
emissionprobs	5	2	H3K27me3	0	0.9865375394815536
emissionprobs	5	2	H3K27me3	1	0.01346246051844634
emissionprobs	5	3	H3K4me1	0	0.990328107923639
emissionprobs	5	3	H3K4me1	1	0.009671892076360869
emissionprobs	5	4	H3K4me3	0	0.9986101476559908
emissionprobs	5	4	H3K4me3	1	0.0013898523440092339
emissionprobs	5	5	H3K9me3	0	0.9216056103111886
emissionprobs	5	5	H3K9me3	1	0.0783943896888113
emissionprobs	5	6	K3K36me3	0	0.9893862606203222
emissionprobs	5	6	K3K36me3	1	0.010613739379677866
emissionprobs	6	0	DNase	0	0.03483257358927416
emissionprobs	6	0	DNase	1	0.9651674264107258
emissionprobs	6	1	H3K27ac	0	0.9628453014187041
emissionprobs	6	1	H3K27ac	1	0.03715469858129593
emissionprobs	6	2	H3K27me3	0	0.9135275724246932
emissionprobs	6	2	H3K27me3	1	0.08647242757530689
emissionprobs	6	3	H3K4me1	0	0.7060588374628959
emissionprobs	6	3	H3K4me1	1	0.2939411625371042
emissionprobs	6	4	H3K4me3	0	0.20490107908315808
emissionprobs	6	4	H3K4me3	1	0.795098920916842
emissionprobs	6	5	H3K9me3	0	0.9205665592996065
emissionprobs	6	5	H3K9me3	1	0.0794334407003934
emissionprobs	6	6	K3K36me3	0	0.96807158715943
emissionprobs	6	6	K3K36me3	1	0.03192841284057003
emissionprobs	7	0	DNase	0	2.2000770670677376E-4
emissionprobs	7	0	DNase	1	0.9997799922932933
emissionprobs	7	1	H3K27ac	0	0.2625122480260708
emissionprobs	7	1	H3K27ac	1	0.7374877519739292
emissionprobs	7	2	H3K27me3	0	0.9986957038872029
emissionprobs	7	2	H3K27me3	1	0.0013042961127971693
emissionprobs	7	3	H3K4me1	0	0.8329170827943344
emissionprobs	7	3	H3K4me1	1	0.16708291720566557
emissionprobs	7	4	H3K4me3	0	0.016542205279816494
emissionprobs	7	4	H3K4me3	1	0.9834577947201836
emissionprobs	7	5	H3K9me3	0	0.9449267546874747
emissionprobs	7	5	H3K9me3	1	0.05507324531252537
emissionprobs	7	6	K3K36me3	0	0.9050329142941727
emissionprobs	7	6	K3K36me3	1	0.0949670857058273
emissionprobs	8	0	DNase	0	0.8749543972881701
emissionprobs	8	0	DNase	1	0.12504560271182982
emissionprobs	8	1	H3K27ac	0	0.528498440499784
emissionprobs	8	1	H3K27ac	1	0.4715015595002159
emissionprobs	8	2	H3K27me3	0	0.9821763911192781
emissionprobs	8	2	H3K27me3	1	0.017823608880721875
emissionprobs	8	3	H3K4me1	0	0.42602309723256776
emissionprobs	8	3	H3K4me1	1	0.5739769027674322
emissionprobs	8	4	H3K4me3	0	0.04881268373693019
emissionprobs	8	4	H3K4me3	1	0.9511873162630698
emissionprobs	8	5	H3K9me3	0	0.9481305472569257
emissionprobs	8	5	H3K9me3	1	0.05186945274307427
emissionprobs	8	6	K3K36me3	0	0.8457929588343288
emissionprobs	8	6	K3K36me3	1	0.1542070411656711
emissionprobs	9	0	DNase	0	0.999693388999488
emissionprobs	9	0	DNase	1	3.066110005120519E-4
emissionprobs	9	1	H3K27ac	0	0.3669784579545547
emissionprobs	9	1	H3K27ac	1	0.6330215420454454
emissionprobs	9	2	H3K27me3	0	0.9926440238082012
emissionprobs	9	2	H3K27me3	1	0.0073559761917989415
emissionprobs	9	3	H3K4me1	0	0.18535009420648316
emissionprobs	9	3	H3K4me1	1	0.8146499057935169
emissionprobs	9	4	H3K4me3	0	0.9969122365098678
emissionprobs	9	4	H3K4me3	1	0.0030877634901322866
emissionprobs	9	5	H3K9me3	0	0.9740058523063269
emissionprobs	9	5	H3K9me3	1	0.025994147693673166
emissionprobs	9	6	K3K36me3	0	0.9092032068699422
emissionprobs	9	6	K3K36me3	1	0.09079679313005784
emissionprobs	10	0	DNase	0	0.9171902311510234
emissionprobs	10	0	DNase	1	0.08280976884897664
emissionprobs	10	1	H3K27ac	0	0.9139983032771503
emissionprobs	10	1	H3K27ac	1	0.08600169672284973
emissionprobs	10	2	H3K27me3	0	0.9892734638624745
emissionprobs	10	2	H3K27me3	1	0.01072653613752547
emissionprobs	10	3	H3K4me1	0	0.3779250393650833
emissionprobs	10	3	H3K4me1	1	0.6220749606349167
emissionprobs	10	4	H3K4me3	0	0.9991307862229463
emissionprobs	10	4	H3K4me3	1	8.692137770538018E-4
emissionprobs	10	5	H3K9me3	0	0.993924142611888
emissionprobs	10	5	H3K9me3	1	0.006075857388111896
emissionprobs	10	6	K3K36me3	0	0.9858726561133572
emissionprobs	10	6	K3K36me3	1	0.014127343886642961
emissionprobs	11	0	DNase	0	0.06914922577490766
emissionprobs	11	0	DNase	1	0.9308507742250923
emissionprobs	11	1	H3K27ac	0	0.5574509600628677
emissionprobs	11	1	H3K27ac	1	0.4425490399371323
emissionprobs	11	2	H3K27me3	0	0.9973850237880376
emissionprobs	11	2	H3K27me3	1	0.0026149762119624153
emissionprobs	11	3	H3K4me1	0	0.27530329515415547
emissionprobs	11	3	H3K4me1	1	0.7246967048458446
emissionprobs	11	4	H3K4me3	0	0.9792120666996118
emissionprobs	11	4	H3K4me3	1	0.020787933300388174
emissionprobs	11	5	H3K9me3	0	0.9055244661323639
emissionprobs	11	5	H3K9me3	1	0.0944755338676361
emissionprobs	11	6	K3K36me3	0	0.9716995808676526
emissionprobs	11	6	K3K36me3	1	0.028300419132347363
emissionprobs	12	0	DNase	0	0.9628466615241582
emissionprobs	12	0	DNase	1	0.03715333847584174
emissionprobs	12	1	H3K27ac	0	0.9679541838147907
emissionprobs	12	1	H3K27ac	1	0.0320458161852092
emissionprobs	12	2	H3K27me3	0	0.9887902006379089
emissionprobs	12	2	H3K27me3	1	0.01120979936209115
emissionprobs	12	3	H3K4me1	0	0.9860237560464533
emissionprobs	12	3	H3K4me1	1	0.013976243953546756
emissionprobs	12	4	H3K4me3	0	0.9989339158684347
emissionprobs	12	4	H3K4me3	1	0.0010660841315652423
emissionprobs	12	5	H3K9me3	0	0.9999999999984608
emissionprobs	12	5	H3K9me3	1	1.539150946723862E-12
emissionprobs	12	6	K3K36me3	0	0.9705324249994521
emissionprobs	12	6	K3K36me3	1	0.029467575000547936
emissionprobs	13	0	DNase	0	0.9936190674991757
emissionprobs	13	0	DNase	1	0.006380932500824295
emissionprobs	13	1	H3K27ac	0	0.9933256974177419
emissionprobs	13	1	H3K27ac	1	0.00667430258225806
emissionprobs	13	2	H3K27me3	0	0.9913797897063585
emissionprobs	13	2	H3K27me3	1	0.008620210293641455
emissionprobs	13	3	H3K4me1	0	0.9956179781351837
emissionprobs	13	3	H3K4me1	1	0.004382021864816212
emissionprobs	13	4	H3K4me3	0	0.9996708997655888
emissionprobs	13	4	H3K4me3	1	3.2910023441127655E-4
emissionprobs	13	5	H3K9me3	0	0.9999999999999788
emissionprobs	13	5	H3K9me3	1	2.1216285197968983E-14
emissionprobs	13	6	K3K36me3	0	0.9972219136074546
emissionprobs	13	6	K3K36me3	1	0.002778086392545377
emissionprobs	14	0	DNase	0	0.4598041910186321
emissionprobs	14	0	DNase	1	0.5401958089813679
emissionprobs	14	1	H3K27ac	0	0.9890486025509811
emissionprobs	14	1	H3K27ac	1	0.010951397449018888
emissionprobs	14	2	H3K27me3	0	0.38379330763188885
emissionprobs	14	2	H3K27me3	1	0.6162066923681112
emissionprobs	14	3	H3K4me1	0	0.9826753503920894
emissionprobs	14	3	H3K4me1	1	0.017324649607910594
emissionprobs	14	4	H3K4me3	0	0.9903062955654601
emissionprobs	14	4	H3K4me3	1	0.009693704434539737
emissionprobs	14	5	H3K9me3	0	0.844795637065163
emissionprobs	14	5	H3K9me3	1	0.15520436293483686
emissionprobs	14	6	K3K36me3	0	0.9940849376376256
emissionprobs	14	6	K3K36me3	1	0.005915062362374367
emissionprobs	15	0	DNase	0	0.9753882283746501
emissionprobs	15	0	DNase	1	0.02461177162534985
emissionprobs	15	1	H3K27ac	0	0.9934155660504345
emissionprobs	15	1	H3K27ac	1	0.006584433949565574
emissionprobs	15	2	H3K27me3	0	0.7620998692639256
emissionprobs	15	2	H3K27me3	1	0.23790013073607438
emissionprobs	15	3	H3K4me1	0	0.988589807491765
emissionprobs	15	3	H3K4me1	1	0.01141019250823512
emissionprobs	15	4	H3K4me3	0	0.9985612091240487
emissionprobs	15	4	H3K4me3	1	0.001438790875951298
emissionprobs	15	5	H3K9me3	0	0.976602887139669
emissionprobs	15	5	H3K9me3	1	0.023397112860330884
emissionprobs	15	6	K3K36me3	0	0.9947317841141803
emissionprobs	15	6	K3K36me3	1	0.005268215885819613
